CATEGORY,Q1,V1,A1,,Q2,V2,A2,,Q3,V3,A3,,Q4,V4,A4,
U.S CITIES,This New Mexico City claims the title 'Hot Air Balloon Capital of the World',200,Albuquerque,where is albuquerque,A suburb of Dallas this city officially recognizes Rip Van Winkle's creator as its namesake,400,Irving,where is irving,Once a large Quaker community--this California city bears the last name of Quaker poet John Greenleaf,600,Whittier,where is whittier,Located in the heart of the Lehigh Valley--it's nicknamed the 'Christmas City',800,Bethlehem,where is bethlehem
WITH CREAM CHEESE,marthastewart.com says the cream cheese frosting is just as tasty as this crimson-hued cake,200,Red velvet cake,what is red velvet cake,Kraft wants you to frost your carrot cake using this brand that Kraft took over in 1928,400,Philadelphia,what is philadelphia,Wrap a tortilla around chicken & cream cheese to get this dish whose Spanish name means spiced with chile,600,Enchilada,what is a enchilada,As cream cheese goes into cheesecake so cheesecake goes into this pan named for the clamp on it,800,Springform pan,what is a springform pan
CHAT GPS,Traffic ahead on the 5 South as you approach Disneyland in this city; would you like a faster alternate route through Wyoming?,200,Anaheim,where is anaheim,Take US-75 N. to get from Nebraska City to this Nebraska city; eta--about 45 minutes--but I won't direct you to Warren Buffett's house,400,Omaha,where is omaha,After leaving Richmond take I-95 north then head east & pick up DE-8 to reach this other capital 3 1/2 hours away,600,Dover,where is dover,Take AZ-80 to N. 4th Street; E. Allen St. & your destination is ahead at this landmark that gained fame in 1881; enjoy your holliday!,800,the O.K. Corral,what is the ok corral
COMPUTER LANGUAGES,In the acronym for this computer language created at Dartmouth in the 1960s--the first letter stands for ''Beginner's'',200,BASIC,what is basic,Created by Tim Berners-Lee the language known by these 4 letters is used to create lots of web pages,400,HTML,what is html,Sharing a name with a type of large snake--this computer language is used in NASA's integrated planning system,600,Python,what is python,Developed by Bjarne Stroustrup--this letter ''++'' is one of the first computer languages that college students learn,800,C,what is c
DOCTOR HOW,...did you diagnose glomerulonephritis--inflammation of tiny filters in this organ? Facial fluid retention was a symptom,200,Kidney,what is a kidney,...does blood get supplied to the heart? Through the coronary arteries--branches of this--the longest artery in your body,400,Aorta,what is the aorta,...many of ''false'' these bones are in a human body? 6—the top 3 pairs not linked directly to the breastbone,600,Ribs,what are ribs,...do I treat a pull of these back-of-the-thigh muscles that include the semitendinosus? Elevate your leg to stop swelling,800,Hamstrings,what are hamstrings
TECHNOLOGY,Computer scientist Annie Easley wrote code that helped in the development of the first batteries used in this class of car that employs dual power systems,200,Hybrids,what are hybrids,Coders fluent in SQL or Structured Query Language can work with information storehouses known as relational these; Oracle is famous for software that creates them,400,Databases,what are databases,In the 1970s Moore's Law surmised that the number of these central components on microchips would double every two years--but Moore later admitted it probably won't last,600,Transistors,what are transistors,Tech pioneer Adele Goldberg helped develop a programming language used to create the first GUI--short for this--featuring icons & menus,800,Graphical User Inferface,what is a graphical user interface
ANIMALS IN GERMAN,This animal is ein schaf; an expression about an innocent exterior is ''wolf im schafspelz'',200,Sheep,what is a sheep,This 3-letter critter is das schwein,400,Pig,what is a pig,This large amphibious mammal is nilpferd,600,Hippo,what is a hippo,Kavallerie is a German word for a group of these,800,Horses,what are horses
SITCOMS BY CHARACTERS,Michael Scott; Dwight Schrute; Pam Beesly,200,The Office,what is the office,Jackie; Darlene & Dan; Roseanne's widower,400,The Conners,what is the conners,Georgie; Meemaw; the kid version of Mr. Cooper,600,Young Sheldon,what is young sheldon,Charlie Kelly; Frank Reynolds; Mac,800,It's Always Sunny in Philadelphia,what is its always sunny in philadelphia
A ''GRAPHY'' DESCRIPTION,It used to mean the writing of books; now it's a list,200,Bibliography,what is a bibliogography,The science of mapmaking,400,Cartography,what is cartography,The art of producing formal lettering with a brush or a pen,600,Calligraphy,what is calligraphy,Emmanuel Lubezki has won 3 Oscars in this category,800,Cinematography,what is cinematography
MOVIE TITLE PAIRS,2002: A Hawaiian girl adopts an alien for a pet,200,Lilo and Stitch,what is lilo and stitch,1975: King Arthur & his knights embark on a surreal search for a sacred object,400,Monty Python and the Holy Grail,what is monty python and the holy grail,"1998: Near the end of his life the director of ""Frankenstein"" begins a friendship with his gardener",600,Gods and Monsters,what is gods and monsters,1991: 2 women go on the run from the cops after one commits a homicide,800,Thelma and Louise,what is thelma and louise
